strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
010200010106,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010201,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010202,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010203,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010204,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010205,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010206,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010207,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010208,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010209,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010210,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010301,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010302,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010303,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010304,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010305,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010306,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010307,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010308,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010401,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010402,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010403,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010404,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010501,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010502,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010503,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010504,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010505,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010506,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010507,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010508,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010509,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010601,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010602,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010701,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010702,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010703,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010901,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010903,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010904,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020101,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020102,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020103,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020104,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020105,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020106,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020107,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020108,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020201,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020202,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020203,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020204,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020205,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020301,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020302,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020303,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020401,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020403,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020404,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020405,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020406,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020502,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040101,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040102,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040103,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040104,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040105,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040107,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040111,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040301,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040302,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040303,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040304,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040307,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200040401,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010101,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010102,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010201,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010202,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010203,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010204,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010205,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010206,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010301,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010302,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010303,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010304,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010305,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010306,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010307,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010308,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010300010309,mCALYx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
