model;dataset;n_time_steps;MSE;RMSE;MAE;MAPE;sMAPE;Duration;Best Params
SVR;Sunspot Numbers;21;56952,878833585535;238,64802289896627;40,90290155713018;14,794101307322023;8,97;4,838961124420166;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;Sunspot Numbers;4;43726,44641934242;209,10869522653147;70,12628901986525;16,83220246268215;9,84;11,109757661819458;{'C': 12550, 'epsilon': 0.0001, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;IBM Stock prices;12;964,8216737659296;31,061578739109983;28,73818783487789;19,423504807784823;10,83;13,167685747146606;{'C': 125550, 'epsilon': 0.001, 'gamma': 1e-06, 'kernel': 'rbf'}
SVR;IBM Stock prices;15;1454,536081294572;38,13838068526995;31,576019562241623;21,99482024052992;12,23;15,09796142578125;{'C': 125550, 'epsilon': 0.0001, 'gamma': 1e-06, 'kernel': 'rbf'}
SVR;Sunspot Numbers;3;72528,6529538524;269,3114423002714;121,52428382202996;24,87753617086381;15,28;9,430402278900146;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;Sunspot Numbers;18;92856,73413097663;304,7240294610463;139,986030463669;27,946648233111915;17,77;8,252907991409302;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;Sunspot Numbers;24;111761,89159076786;334,3080788595571;138,39541849071014;28,063176246996864;18,42;5,131870269775391;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;Sunspot Numbers;13;108942,33528469884;330,0641381378759;146,7297846241124;28,78915019505114;18,85;6,548251867294312;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;Sunspot Numbers;9;131815,65962664923;363,0642637697206;177,4550470497809;33,18579884024096;22,55;8,70100998878479;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;Sunspot Numbers;10;143611,1605729393;378,9606319565916;188,65627564671507;35,09411935216974;24,3;7,945823431015015;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;Canadian Lynx;5;572646,4037002992;756,7340376250424;483,6570314774342;117,72677622688508;25,13;0,1150152683258056;{'C': 1255555, 'epsilon': 0.0001, 'gamma': 1e-07, 'kernel': 'rbf'}
SVR;Canadian Lynx;3;726960,0349085802;852,6195135631017;356,2049179377583;111,89994981181606;25,32;0,1070530414581298;{'C': 1255555, 'epsilon': 0.1, 'gamma': 1e-06, 'kernel': 'rbf'}
SVR;Sunspot Numbers;15;152746,8937458414;390,8284710021027;203,3832453645493;36,69960701435884;25,59;4,738094091415405;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;Sunspot Numbers;16;161658,9868899119;402,06838583742433;200,3298937880282;36,8816882631049;26,09;4,618197679519653;{'C': 12550, 'epsilon': 0.01, 'gamma': 1e-05, 'kernel': 'rbf'}
SVR;Canadian Lynx;12;655930,8809389815;809,8955987897339;582,2276060575246;144,6987693523164;26,52;0,1032474040985107;{'C': 1255555, 'epsilon': 0.0001, 'gamma': 1e-07, 'kernel': 'rbf'}
